,0
2000-01-13,687.0
2000-01-14,646.0
2000-01-15,-189.0
2000-01-16,-611.0
2000-01-17,1339.0
2000-01-18,30.0
2000-01-19,1645.0
2000-01-20,-276.0
2000-01-21,561.0
2000-01-22,470.0
2000-01-23,3395.0
2000-01-24,360.0
2000-01-25,3440.0
2000-01-26,1573.0
2000-01-27,3363.0
2000-01-28,3226.0
2000-01-29,4974.0
2000-01-30,2384.0
2000-01-31,1000.0
2000-02-01,1022.0
2000-02-02,-2042.0
2000-02-03,1459.0
2000-02-04,-503.0
2000-02-05,1767.0
2000-02-06,185.0
2000-02-07,18.0
2000-02-08,-795.0
2000-02-09,3369.0
2000-02-10,-772.0
2000-02-11,1611.0
2000-02-12,125.0
2000-02-13,-355.0
2000-02-14,2394.0
2000-02-15,2458.0
2000-02-16,3680.0
2000-02-17,2045.0
2000-02-18,1405.0
2000-02-19,1505.0
2000-02-20,4539.0
2000-02-21,880.0
2000-02-22,1887.0
2000-02-23,765.0
2000-02-24,2907.0
2000-02-25,1664.0
2000-02-26,2830.0
2000-02-27,820.0
2000-02-28,-2182.0
2000-02-29,-890.0
2000-03-01,-86.0
2000-03-02,495.0
2000-03-03,1046.0
2000-03-04,1866.0
2000-03-05,1526.0
2000-03-06,2666.0
2000-03-07,14.0
2000-03-08,4461.0
2000-03-09,103.0
2000-03-10,2378.0
2000-03-11,3943.0
2000-03-12,4873.0
2000-03-13,493.0
2000-03-14,-205.0
2000-03-15,259.0
2000-03-16,-990.0
2000-03-17,-2864.0
2000-03-18,-1314.0
2000-03-19,199.0
2000-03-20,346.0
2000-03-21,2506.0
2000-03-22,-995.0
2000-03-23,-135.0
2000-03-24,-1891.0
2000-03-25,-449.0
2000-03-26,-1152.0
2000-03-27,736.0
2000-03-28,-2443.0
2000-03-29,3404.0
2000-03-30,2181.0
2000-03-31,-1168.0
2000-04-01,-1679.0
2000-04-02,197.0
2000-04-03,1052.0
2000-04-04,-1443.0
2000-04-05,-1007.0
2000-04-06,985.0
2000-04-07,2643.0
2000-04-08,-846.0
2000-04-09,2033.0
2000-04-10,2018.0
2000-04-11,-1030.0
2000-04-12,3804.0
2000-04-13,3288.0
2000-04-14,787.0
2000-04-15,4155.0
2000-04-16,1061.0
2000-04-17,864.0
